symbol,ts_event,best_level_ofi,multi_level_ofi,integrated_ofi,cross_asset_ofi
AAPL,2024-10-21T11:58:58.912639087Z,0.0,-100.0,-0.05508963126673319,0.0
AAPL,2024-10-21T11:58:58.912642543Z,0.0,-100.0,-0.05508963126673319,0.0
AAPL,2024-10-21T11:58:58.912684059Z,0.0,-90.0,-0.738069138183141,0.0
AAPL,2024-10-21T11:58:58.912954809Z,0.0,10.0,0.5991142616393996,0.0
AAPL,2024-10-21T11:58:58.926466671Z,0.0,400.0,-0.17331666458983658,0.0
AAPL,2024-10-21T11:58:58.945466491Z,0.0,-200.0,-0.2449065989090011,0.0
AAPL,2024-10-21T11:58:58.980196081Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:58:58.980205607Z,0.0,-400.0,0.17322267048340625,0.0
AAPL,2024-10-21T11:58:58.983388525Z,0.0,-100.0,-0.3518787977264316,0.0
AAPL,2024-10-21T11:58:58.983400771Z,0.0,300.0,0.5966444054757875,0.0
AAPL,2024-10-21T11:58:59.013763041Z,0.0,62.0,-1.0324541156490212,0.0
AAPL,2024-10-21T11:58:59.013823110Z,0.0,400.0,-0.17331666458983658,0.0
AAPL,2024-10-21T11:58:59.163763153Z,-37.0,17.0,0.8357077859236256,0.0
AAPL,2024-10-21T11:59:00.168228588Z,0.0,-25.0,-0.3330674771074085,0.0
AAPL,2024-10-21T11:59:00.168269867Z,0.0,29.0,0.3288095738139327,0.0
AAPL,2024-10-21T11:59:00.853830846Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:59:01.071525039Z,0.0,-399.0,-0.5325613145103798,0.0
AAPL,2024-10-21T11:59:01.071537379Z,0.0,399.0,-0.05635202598778841,0.0
AAPL,2024-10-21T11:59:01.127333717Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:59:01.141872098Z,0.0,-400.0,0.17322267048340625,0.0
AAPL,2024-10-21T11:59:01.141884696Z,0.0,200.0,-0.4181762664456225,0.0
AAPL,2024-10-21T11:59:01.197001468Z,0.0,1.0,0.2764285687354305,0.0
AAPL,2024-10-21T11:59:01.197013688Z,0.0,200.0,0.24481260480257086,0.0
AAPL,2024-10-21T11:59:01.308608556Z,0.0,0.0,-4.699705321511205e-05,0.0
AAPL,2024-10-21T11:59:01.341702894Z,0.0,-30.0,-0.016559787317270532,0.0
AAPL,2024-10-21T11:59:01.341757997Z,0.0,27.0,-0.028153384065773134,0.0
AAPL,2024-10-21T11:59:01.498729008Z,0.0,-200.0,-0.11013226548025125,0.0
AAPL,2024-10-21T11:59:01.983695936Z,0.0,200.0,0.11003827137382102,0.0
AAPL,2024-10-21T11:59:02.037392833Z,0.0,-200.0,-0.11013226548025125,0.0
